0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bg_dti_red.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bul_minus.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /xMain/common/menu/DtiPreview_advertisement.html HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bg_dti_note01.gif HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/bg_dtimk_td.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:20:09 +0900] "GET /image/center/img_btn_bg.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:27:22 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:33:29 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:44:10 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5168
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:44:58 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:16 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:17 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:18 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:18 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:18 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:19 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:19 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:41 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:45:46 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:46:49 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5066
0:0:0:0:0:0:0:1 - - [25/Apr/2023:13:47:59 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 4846
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:27:34 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:27:37 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:41 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:44 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:48 +0900] "GET /BBS/%E3%85%A1%EB%A8%80%E3%85%9C.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:57 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:33:58 +0900] "GET /BBS/dtiInvoice.jsp HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [25/Apr/2023:14:34:24 +0900] "GET /BBS/dtiInvoice.jsp HTTP/1.1" 200 5307
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4852
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:20 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:30 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:30 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3006
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:34 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:44 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [25/Apr/2023:16:51:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4823
